1;OBST;APFEL,BIRNE,BANANE,PFIRSICH;F9DF6D;0;Dinge, die man essen kann und an Bäumen oder Sträuchern wachsen.
1;WETTER;REGEN,SONNE,WIND,SCHNEE;AADC82;1;Phänomene, die man draußen am Himmel beobachten kann.
1;MÖBEL;STUHL,TISCH,SOFA,REGAL;B0C4EF;2;Gegenstände, die man zur Einrichtung einer Wohnung nutzt.
1;____-WORT;ANT,STICH,VOR,GEGEN;BA81C5;3;Vorsilben, die man vor einen bestimmten Begriff setzen kann.
2;FARBEN;ROT,BLAU,GRÜN,GELB;F9DF6D;0;Eigenschaften, die das Aussehen von Objekten beschreiben.
2;TIERE;HUND,KATZE,MAUS,PFERD;AADC82;1;Lebewesen, die oft als Haustiere oder Nutztiere gehalten werden.
2;KÜCHE;MESSER,GABEL,LÖFFEL,TELLER;B0C4EF;2;Dinge, die man zum Essen oder Zubereiten von Speisen benötigt.
2;____-KARTE;LAND,KREDIT,POST,SPIEL;BA81C5;3;Wörter, die zusammen mit einem rechteckigen Papier- oder Plastikobjekt Sinn ergeben.
3;MUSIKINSTRUMENTE;KLAVIER,GEIGE,FLÖTE,GITARRE;F9DF6D;0;Gegenstände, auf denen man Melodien spielen kann.
3;BAUMTEILE;BLATT,WURZEL,STAMM,ZWEIG;AADC82;1;Die verschiedenen Komponenten eines großen Gewächses.
3;TASTATUR;ENTER,SHIFT,STRG,ALT;B0C4EF;2;Tasten, die man auf einem Computer-Eingabegerät findet.
3;GEFLÜGELT;ADLER,FLIEGE,ENGEL,FLUGZEUG;BA81C5;3;Dinge oder Wesen, die Flügel besitzen.
4;KARTENFARBEN;HERZ,PIK,KREUZ,KARO;F9DF6D;0;Die vier Symbole in einem französischen Kartenspiel.
4;MÜNZEN;CENT,EURO,DOLLAR,YEN;AADC82;1;Einheiten von Hartgeld in verschiedenen Währungen.
4;MAẞEINHEITEN;METER,LITER,GRAMM,VOLT;B0C4EF;2;Standardisierte Größen zum Messen von physikalischen Eigenschaften.
4;SCHARF;MESSER,CHILI,VERSTAND,BLICK;BA81C5;3;Dinge, die schneiden können oder im übertragenen Sinne intensiv sind.
5;PLANETEN;ERDE,NEPTUN,URANUS,SATURN;F9DF6D;0;Himmelskörper in unserem Sonnensystem (Ohne Götter-Dopplung).
5;RÖM. GÖTTER;MARS,VENUS,JUPITER,MERKUR;AADC82;1;Gottheiten der Antike (Achtung: Auch Planeten oder Metalle!).
5;SCHOKORIEGEL;BOUNTY,SNICKERS,TWIX,MILKY WAY;B0C4EF;2;Beliebte Süßwaren (Wo ist der Mars?).
5;METALLE;GOLD,SILBER,EISEN,KUPFER;BA81C5;3;Elemente mit hoher Leitfähigkeit (Vorsicht bei Merkur/Quecksilber).
6;PIZZA-BELAG;SALAMI,PILZE,KÄSE,ZWIEBEL;F9DF6D;0;Zutaten, die man häufig auf einen italienischen Teigfladen legt.
6;BRETTSPIELE;SCHACH,DAME,MÜHLE,HALMA;AADC82;1;Klassische Spiele, die auf einem Brett ausgetragen werden.
6;PERIODENSYSTEM;HELIUM,NEON,ARGON,KRYPTON;B0C4EF;2;Edelgase, die für ihre Reaktionsträgheit bekannt sind.
6;____-FALL;REGEN,WASSER,STERN,ERNST;BA81C5;3;Wörter, die in Kombination mit 'Fall' einen neuen Begriff bilden.
7;FRÜCHTE;BIRNE,KIRSCHE,BANANE,ZITRONE;F9DF6D;0;Essbare Pflanzenteile (Vorsicht mit dem Apfel).
7;PROG-SPRACHEN;KOTLIN,SWIFT,RUST,GO;AADC82;1;Moderne Sprachen für Softwareentwicklung (Achtung: Python/Java fehlen).
7;TECH-FIRMEN;APPLE,GOOGLE,META,AMAZON;B0C4EF;2;Giganten der digitalen Industrie.
7;SCHLANGEN;PYTHON,VIPER,MAMBA,KOBRA;BA81C5;3;Reptilien ohne Beine (Python ist auch eine Sprache).
8;FARBEN (DE);WEIẞ,SCHWARZ,GRAU,BRAUN;F9DF6D;0;Grundfarben zur Beschreibung von Objekten.
8;AUTOMARKEN;VW,BMW,AUDI,MERCEDES;AADC82;1;Bekannte Hersteller von Kraftfahrzeugen aus Deutschland.
8;PASTASORTEN;SPAGHETTI,PENNE,FUSILLI,LASAGNE;B0C4EF;2;Verschiedene Formen von italienischen Teigwaren.
8;WERKZEUGE;HAMMER,ZANGE,BOHRER,FEILE;BA81C5;3;Gegenstände, die man zum Heimwerken oder Reparieren nutzt.
9;STOFFE;SEIDE,WOLLE,LEINEN,BAUMWOLLE;F9DF6D;0;Materialien, aus denen Kleidung hergestellt wird.
9;KÜCHENGERÄTE;MIXER,TOASTER,HERD,WAAGE;AADC82;1;Elektrische Helfer bei der Speisenzubereitung.
9;STERNZEICHEN;LÖWE,STIER,WAAGE,WIDDER;B0C4EF;2;Astrologische Symbole basierend auf dem Geburtsdatum.
9;GRIECHISCHE GÖTTER;ZEUS,HERA,APOLLO,ATHENE;BA81C5;3;Mächtige Wesen aus der antiken Mythologie.
10;ZEITEINHEITEN;SEKUNDE,MINUTE,STUNDE,TAG;F9DF6D;0;Maße zur Einteilung der Zeitdauer.
10;GEOMETRIE;PUNKT,LINIE,KREIS,DREIECK;AADC82;1;Grundelemente der mathematischen Formenlehre.
10;KARTENSPIELE;POKER,MAU-MAU,SKAT,BRIDGE;B0C4EF;2;Spiele, die mit einem Satz Karten gespielt werden.
10;KAFFEE;ESPRESSO,LATTE,CAPPUCCINO,MOCHA;BA81C5;3;Verschiedene Arten der Zubereitung eines beliebten Heißgetränks.
11;MYTHISCHE WESEN;DRACHE,EINHORN,PHÖNIX,ZENTAUR;F9DF6D;0;Sagenumwobene Kreaturen aus Legenden.
11;NATURELEMENTE;FEUER,WASSER,ERDE,LUFT;AADC82;1;Die vier klassischen Elemente der Naturlehre.
11;BUCHTEILE;COVER,SEITE,KAPITEL,INDEX;B0C4EF;2;Die strukturellen Bestandteile eines gedruckten Werks.
11;SCHREIBGERÄTE;STIFT,FEDER,PINSEL,KREIDE;BA81C5;3;Werkzeuge, mit denen man Zeichen auf Oberflächen bringt.
